,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
2559,기아,K5,가솔린 2.0 럭셔리,7900000,11년09월(12년형),"74,000km",가솔린,오토,정보없음,중형,"1,998cc",검정,없음,없음,1 건,사고없음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2560,기아,K5 2세대,1.7 디젤 MX 노블레스,11700000,15년10월(16년형),"130,000km",디젤,오토,15.9Km,중형,0cc,회색,정보없음,없음,1 건,사고있음,없음,없음,없음,4회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2561,기아,K5,2.0 LPI 프레스티지,12500000,15년09월(16년형),"90,000km",LPG,오토,정보없음,중형,"1,999cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2562,기아,K5,2.0 LPI 프레스티지,8700000,12년03월(13년형),"122,726km",LPG,오토,정보없음,중형,"1,900cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0
2563,기아,더 뉴 K5,프레스티지,14900000,14년11월(15년형),"45,381km",가솔린,오토,정보없음,중형,"1,900cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
2564,기아,K5,2.0 LPI 스마트,6800000,12년01월(12년형),"120,098km",LPG,오토,정보없음,중형,"1,999cc",은색,없음,없음,없음,사고있음,없음,없음,있음,2회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2565,기아,K5 2세대,1.7 디젤 SX 럭셔리,10900000,15년12월(16년형),"132,009km",디젤,오토,16.1Km,중형,"1,700cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1
2566,기아,K5,가솔린 2.0 프레스티지,7400000,11년09월(12년형),"118,960km",가솔린,오토,정보없음,중형,"2,000cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,보통,1,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1
2567,기아,K5,2.0 LPI 프레스티지,5200000,11년01월(11년형),"210,000km",LPG,오토,정보없음,중형,"1,600cc",회색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2568,기아,K5,2.0 LPI 스마트,7500000,13년05월(13년형),"73,622km",LPG,오토,정보없음,중형,"1,998cc",회색,없음,없음,없음,사고있음,없음,없음,있음,1회,짧음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2569,기아,K5 하이브리드,프레스티지,6490000,11년10월(12년형),"200,000km",하이브리드(가솔린),오토,정보없음,중형,"2,000cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1
2570,기아,더 뉴 K5,LPI 럭셔리 경제형,8900000,14년03월(14년형),"153,347km",LPG,오토,정보없음,중형,0cc,흰색,정보없음,없음,없음,사고없음,없음,없음,있음,5회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
