,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
2199,기아,올 뉴 모닝밴(JA),2인승밴 고급형,6700000,18년11월(18년형),"26,529km",가솔린,오토,정보없음,경차,998cc,흰색,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200,기아,더 뉴 모닝,디럭스,7900000,16년08월(16년형),"75,896km",가솔린,오토,정보없음,경차,998cc,흰색,없음,없음,없음,사고있음,없음,없음,있음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2201,기아,올 뉴 모닝(JA),럭셔리,9500000,18년10월(18년형),"7,592km",가솔린,오토,정보없음,경차,0cc,진주색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
2202,기아,올 뉴 모닝(JA),LPi 디럭스,6900000,17년08월(17년형),"74,589km",LPG,오토,12.6Km,경차,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,있음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2203,기아,올 뉴 모닝밴(JA),2인승밴 고급형,6300000,17년08월(17년형),"42,200km",가솔린,오토,정보없음,경차,999cc,베이지,없음,없음,없음,사고없음,없음,없음,있음,2회,많음,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
2204,기아,all new 모닝,럭셔리,5900000,13년02월(13년형),"87,927km",가솔린,오토,정보없음,경차,998cc,쥐색,없음,없음,없음,사고있음,없음,없음,없음,3회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2205,기아,올 뉴 모닝(JA),프레스티지,9800000,17년04월(17년형),"18,314km",가솔린,오토,15.3Km,경차,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0
2206,기아,더 뉴 모닝,디럭스,5500000,16년08월(16년형),"47,379km",가솔린,오토,정보없음,경차,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,있음,2회,보통,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
2207,기아,all new 모닝,럭셔리,4700000,11년03월(12년형),"55,000km",가솔린,오토,정보없음,경차,999cc,흰색,없음,없음,없음,사고없음,없음,없음,없음,5회,짧음,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2208,기아,뉴모닝,LX 기본형 블랙프리미엄,2800000,08년10월(09년형),"77,000km",가솔린,오토,정보없음,경차,999cc,회색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
