,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
45,기아,봉고3,코치 초장축 15인승 SDX,3500000,04년10월(04년형),"264,245km",디젤,수동,정보없음,승합,"2,497cc",은색투톤,없음,없음,없음,사고있음,없음,없음,없음,4회,보통,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,기아,봉고3,1톤 초장축 더블캡 CRDi,5500000,11년12월(12년형),"177,090km",디젤,오토,정보없음,트럭,"2,902cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,기아,봉고3,1.2톤 윙바디 초장축 수동식 킹캡 프레스티지,6000000,13년01월(13년형),"285,416km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,6회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,기아,봉고3,4WD 1톤 장축 킹캡 CRDi 럭셔리,13700000,18년03월(18년형),"68,720km",디젤,수동,정보없음,트럭,"9,999cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,기아,봉고3,1톤 초장축 킹캡 CRDi,2900000,07년03월(07년형),"230,434km",디젤,수동,정보없음,트럭,0cc,청색,없음,없음,없음,사고있음,없음,없음,없음,2회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,기아,봉고3,1톤 내장탑차 킹캡 하이탑,10500000,15년07월(15년형),"28,728km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,4회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,기아,봉고3,1톤 초장축 킹캡 CRDi GX,5000000,12년06월(12년형),"216,570km",디젤,수동,정보없음,트럭,"2,497cc",초록색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
52,기아,더 뉴 봉고3,냉동탑차 1톤 플러스형 킹캡 초장축,19500000,20년04월(20년형),"1,788km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0
53,기아,봉고3,1.2톤 초장축 표준캡 CRDi 프레스티지,11600000,14년02월(14년형),"77,747km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX 스페셜,6600000,14년01월(14년형),"118,486km",디젤,수동,정보없음,트럭,0cc,인기색상,정보없음,없음,없음,사고없음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,기아,봉고3,바가지차,21500000,15년09월(16년형),"47,476km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,기아,봉고3,1톤 초장축 킹캡 CRDi,3900000,09년12월(10년형),"248,846km",디젤,수동,정보없음,트럭,"2,902cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,기아,봉고3,1.2톤 초장축 표준캡 CRDi 프레스티지,8400000,14년01월(14년형),"137,821km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,기아,봉고,1톤 냉동탑차,16900000,18년10월(19년형),"27,178km",디젤,오토,정보없음,트럭,"2,902cc",흰색,없음,없음,1 건,사고있음,없음,없음,있음,없음,짧음,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
59,기아,봉고3,4WD 1톤 장축 더블캡 CRDi 럭셔리,13300000,18년01월(18년형),"84,316km",디젤,수동,정보없음,트럭,0cc,진주색,정보없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
60,기아,봉고3,1톤 내장탑차 킹캡 하이탑,8500000,14년12월(14년형),"74,000km",디젤,수동,정보없음,트럭,"2,500cc",흰색,없음,없음,1 건,사고있음,없음,없음,없음,4회,짧음,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
61,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX 고급형,4300000,11년08월(11년형),"196,253km",디젤,수동,정보없음,트럭,"2,902cc",청색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
62,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX 고급형,4800000,10년04월(10년형),"109,980km",디젤,수동,정보없음,트럭,"2,902cc",청색,없음,없음,1 건,사고없음,없음,없음,없음,1회,짧음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
63,기아,봉고3,1톤 내장탑차 킹캡 하이탑,13400000,17년01월(17년형),"48,000km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,기아,봉고3,1톤 초장축 킹캡 LPI 노블레스,13400000,19년07월(19년형),"2,167km",LPG,수동,정보없음,트럭,"2,349cc",청색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0
65,기아,봉고3,1톤 초장축 더블캡 CRDi,6900000,12년07월(12년형),"196,586km",디젤,오토,정보없음,트럭,"2,497cc",파랑,없음,없음,없음,사고있음,없음,없음,없음,4회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,기아,봉고3,1톤 내장탑차 킹캡 하이탑,16600000,18년08월(19년형),"44,930km",디젤,오토,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,없음,많음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,기아,봉고3,1톤 초장축 킹캡 CRDi DLX DLX,8800000,15년11월(16년형),"63,721km",디젤,수동,정보없음,트럭,0cc,흰색,정보없음,없음,1 건,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
68,기아,봉고3,1톤 초장축 킹캡 CRDi 프레스티지,10500000,15년07월(15년형),"55,600km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,3회,짧음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,기아,봉고3,1톤 장축 더블캡,4700000,10년03월(10년형),"175,300km",디젤,수동,정보없음,트럭,"2,497cc",청색,없음,없음,없음,사고있음,없음,없음,없음,6회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,기아,봉고3,1톤 장축 킹캡 CRDi SDX,11700000,17년01월(17년형),"28,220km",디젤,수동,정보없음,트럭,"2,495cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0
71,기아,봉고3,1톤 킹캡 초장축 CRDi 럭셔리,8600000,15년07월(15년형),"78,487km",디젤,수동,정보없음,트럭,0cc,흰색,없음,없음,1 건,사고있음,없음,없음,없음,1회,보통,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
72,기아,봉고3,1.2톤 초장축 킹캡 CRDi GLX,9900000,15년05월(15년형),"73,600km",디젤,오토,정보없음,트럭,"2,500cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,기아,봉고3,1.2톤 초장축 킹캡 CRDi GLX,6500000,11년07월(11년형),"92,424km",디젤,수동,정보없음,트럭,"2,902cc",파랑,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
74,기아,봉고3,1톤 활어수송차 초장축 킹캡 럭셔리,13900000,16년03월(16년형),"50,000km",디젤,오토,정보없음,트럭,"2,498cc",초록색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0
75,기아,봉고3,1.2톤 초장축 킹캡 CRDi 프레스티지,13900000,17년04월(17년형),"67,172km",디젤,수동,정보없음,트럭,"2,497cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,많음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
