,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
29,기아,카니발 R,그랜드카니발 GLX 최고급형,7300000,13년03월(13년형),"184,349km",디젤,오토,정보없음,RV,"2,199cc",진주색,없음,없음,없음,사고있음,없음,없음,없음,3회,많음,0,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
30,기아,올 뉴 카니발,9인승 2.2 디젤 럭셔리,14000000,14년08월(15년형),"186,192km",디젤,오토,10.3Km,RV,"2,200cc",흰색,없음,없음,없음,사고있음,없음,없음,있음,5회,많음,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1
31,기아,그랜드카니발,LPI GLX 기본형,6600000,08년06월(09년형),"172,768km",LPG,오토,정보없음,RV,0cc,갈색,정보없음,없음,없음,사고있음,없음,없음,없음,6회,보통,1,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
32,기아,그랜드카니발,GX 고급형,2300000,07년09월(08년형),"181,920km",디젤,오토,정보없음,RV,"2,656cc",은색,없음,없음,없음,사고있음,없음,없음,없음,3회,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,기아,카니발 R,그랜드카니발 GLX R 스페셜,7700000,11년03월(11년형),"150,110km",디젤,오토,정보없음,RV,"2,199cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,보통,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1
34,기아,올 뉴 카니발,9인승 2.2 디젤 노블레스,18600000,16년10월(17년형),"135,844km",디젤,오토,10.9Km,RV,"2,199cc",검정,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1
35,기아,카니발 R,그랜드카니발 GLX 고급형,8500000,13년05월(13년형),"131,000km",디젤,오토,정보없음,RV,"2,199cc",은색,없음,없음,없음,사고없음,없음,없음,없음,1회,보통,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
36,기아,올 뉴 카니발,9인승 2.2 디젤 하이리무진 프레스티지,36500000,15년05월(16년형),"37,698km",디젤,오토,10.3Km,RV,"2,199cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,기아,카니발 R,그랜드카니발 GLX R 스페셜,9500000,11년01월(11년형),"96,845km",디젤,오토,정보없음,RV,0cc,진주색,정보없음,없음,1 건,사고있음,없음,없음,없음,5회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,기아,카니발 R,뉴카니발 리무진 GLX 최고급형,10300000,14년06월(14년형),"166,000km",디젤,오토,11.3Km,RV,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,있음,1회,많음,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
39,기아,올 뉴 카니발,9인승 2.2 디젤 럭셔리,16700000,16년07월(17년형),"112,200km",디젤,오토,10.3Km,RV,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,있음,2회,많음,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0
40,기아,카니발 R,뉴카니발 GLX 최고급형,7400000,13년05월(13년형),"207,494km",디젤,오토,11.3Km,RV,0cc,흰색,정보없음,없음,없음,사고없음,없음,없음,없음,2회,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,기아,카니발 R,그랜드카니발 GLX 고급형,5700000,11년06월(11년형),"157,038km",디젤,오토,정보없음,RV,0cc,흰색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
42,기아,올 뉴 카니발,9인승 2.2 디젤 프레스티지,19900000,15년05월(16년형),"98,289km",디젤,오토,11.2Km,RV,0cc,회색,정보없음,없음,없음,사고있음,없음,없음,없음,1회,보통,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
43,기아,그랜드카니발,GX 그랜드 팩,5500000,09년06월(09년형),"135,285km",디젤,오토,정보없음,RV,0cc,은색,정보없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,기아,그랜드카니발,LIMITED 고급형,3500000,05년11월(06년형),"155,025km",디젤,오토,정보없음,RV,"2,902cc",파랑,없음,없음,없음,사고있음,없음,없음,없음,7회,짧음,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
45,기아,카니발 R,그랜드카니발 GLX 고급형,4700000,13년05월(13년형),"322,440km",디젤,오토,정보없음,RV,"2,199cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,1회,많음,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0
46,기아,올 뉴 카니발,9인승 2.2 디젤 프레스티지,19300000,14년12월(15년형),"68,000km",디젤,오토,11.5Km,RV,"2,199cc",쥐색,없음,없음,없음,사고있음,없음,없음,없음,1회,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
47,기아,카니발 R,뉴카니발 GX 고급형,4400000,10년07월(10년형),"189,000km",디젤,오토,정보없음,RV,"2,199cc",회색,없음,없음,없음,사고있음,없음,없음,없음,없음,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,기아,그랜드카니발,GX 그랜드 팩,2700000,09년02월(09년형),"219,252km",디젤,오토,정보없음,RV,"2,199cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,보통,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
49,기아,올 뉴 카니발,9인승 2.2 디젤 하이리무진 노블레스,39000000,17년03월(17년형),"29,200km",디젤,오토,10.3Km,RV,"2,200cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,3회,짧음,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
50,기아,카니발 R,그랜드카니발 President,6600000,11년10월(11년형),"207,919km",디젤,오토,정보없음,RV,"2,199cc",검정,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
51,기아,올 뉴 카니발,9인승 2.2 디젤 럭셔리,15700000,14년08월(15년형),"111,936km",디젤,오토,10.3Km,RV,"2,199cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,1회,보통,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1
