,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
73,기아,카니발,그랜드카니발 GLX R 스페셜,12500000,13,125082,디젤,오토,10.7,RV,2199,검정색,0,없음,없음,사고있음,없음,없음,없음,0,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44747198696194274
74,기아,카니발,리무진 9인승,5400000,7,150000,디젤,오토,10.7,RV,2902,흰색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,-1.1101638121390964
75,기아,카니발,LPI GLX 기본형,4200000,8,223816,LPG,오토,10.7,RV,0,은색,0,없음,없음,사고있음,없음,없음,있음,7,보통,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1.222168064281714
76,기아,카니발,9인승 2.2 디젤 프레스티지,14900000,15,185205,디젤,오토,11.5,RV,2199,은색,0,없음,없음,사고없음,없음,없음,없음,0,많음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.22346348267670765
77,기아,카니발,9인승 2.2 디젤 하이리무진 노블레스,35900000,16,45737,디젤,오토,10.3,RV,2199,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.7366109298190993
78,기아,카니발,9인승 2.2 디젤 럭셔리,18940000,16,64571,디젤,오토,10.3,RV,0,회색,0,없음,없음,사고있음,없음,없음,있음,2,보통,0,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0.15361749953677137
79,기아,카니발,7인승 2.2 디젤 하이리무진 프레지던트,32990000,16,87206,디젤,오토,11.2,RV,2200,검정색,0,없음,없음,사고없음,없음,없음,없음,2,많음,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1.4650006183732516
80,기아,카니발,9인승 2.2 디젤 노블레스 스페셜,27100000,17,67049,디젤,오토,10.7,RV,2199,검정,0,없음,없음,사고없음,없음,없음,없음,0,많음,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0.9152464141065706
81,기아,카니발,9인승 2.2 디젤 럭셔리,18500000,16,76915,디젤,오토,10.3,RV,2200,검정색,0,없음,없음,사고없음,없음,없음,없음,1,보통,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.11254927375114494
82,기아,카니발,9인승 2.2 디젤 프레스티지,15000000,15,190459,디젤,오토,11.5,RV,2199,흰색,0,없음,없음,사고없음,없음,없음,없음,2,많음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.2141297949981562
83,기아,카니발,LIMITED 최고급형,5900000,8,237000,디젤,오토,10.7,RV,2500,검정색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.063495373746339
84,기아,카니발,GLX 기본형 LPI,6000000,7,165600,LPG,오토,10.7,RV,2656,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-1.0541616860677876
85,기아,카니발,뉴카니발 GLX 기본형,8500000,10,104008,디젤,오토,10.7,RV,2199,회색,0,없음,없음,사고없음,없음,없음,있음,3,짧음,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,-0.8208194941040011
86,기아,카니발,11인승 2.2 디젤 디럭스,14500000,16,110000,디젤,오토,10.7,RV,2199,검정,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.2607982333909135
87,기아,카니발,그랜드카니발 GLX 고급형,7000000,13,181928,디젤,수동,10.7,RV,2500,검정색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.9608248092822731
88,기아,카니발,그랜드카니발 GLX 최고급형,9200000,12,158700,디젤,오토,10.7,RV,2199,검정색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7554836803541409
89,기아,카니발,그랜드카니발 GX 고급형,5400000,11,220356,디젤,오토,10.7,RV,0,파랑색,0,없음,없음,사고있음,없음,없음,없음,3,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1101638121390964
90,기아,카니발,GLX 최고급형,6000000,10,180917,디젤,오토,10.7,RV,2900,은색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,-1.0541616860677876
91,기아,카니발,7인승 2.2 디젤 하이리무진 프레지던트,37000000,16,40000,디젤,오토,11.2,RV,2199,흰색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.8392814942831652
92,기아,카니발,GLX 11인승,4400000,9,221273,디젤,오토,10.7,RV,2999,은색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.2035006889246112
93,기아,카니발,그랜드카니발 GLX 최고급형,9900000,13,99493,디젤,오토,10.7,RV,2199,검정색,0,없음,없음,사고있음,없음,없음,없음,1,보통,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,-0.6901478666042807
94,기아,카니발,11인승 2.2 디젤 럭셔리,21400000,18,48699,디젤,오토,10.7,RV,2199,검정,0,없음,없음,사고있음,없음,없음,없음,0,많음,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0.3832262164291373
95,기아,카니발,9인승 2.2 디젤 프레스티지,19900000,15,115617,디젤,오토,11.2,RV,2198,검정색,0,없음,없음,사고있음,없음,없음,없음,1,많음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0.2432209012508654
