,브랜드,모델,세부등급,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
51,기아,봉고3,1톤 초장축 킹캡 CRDi GX,5000000,12,216570,디젤,수동,9.1,트럭,2497,초록색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,-0.8992635976582595
52,기아,봉고3,냉동탑차 1톤 플러스형 킹캡 초장축,19500000,20,1788,디젤,오토,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1.5696012360136484
53,기아,봉고3,1.2톤 초장축 표준캡 CRDi 프레스티지,11600000,14,77747,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22449556801309167
54,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX 스페셜,6600000,14,118486,디젤,수동,9.1,트럭,0,인기색상,0,없음,없음,사고없음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6268371332530834
55,기아,봉고3,바가지차,21500000,15,47476,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.9101343165201183
56,기아,봉고3,1톤 초장축 킹캡 CRDi,3900000,9,248846,디젤,수동,9.1,트럭,2902,흰색,0,없음,없음,사고있음,없음,없음,없음,0,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.086556791936818
57,기아,봉고3,1.2톤 초장축 표준캡 CRDi 프레스티지,8400000,14,137821,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3203573607972604
58,기아,봉고,1톤 냉동탑차,16900000,18,27178,디젤,오토,9.1,트럭,2902,흰색,0,없음,1 건,사고있음,없음,없음,있음,0,짧음,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.1269082313552372
59,기아,봉고3,4WD 1톤 장축 더블캡 CRDi 럭셔리,13300000,18,84316,디젤,수동,9.1,트럭,0,진주색,0,없음,없음,사고있음,없음,없음,없음,2,많음,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.5139486864435913
60,기아,봉고3,1톤 내장탑차 킹캡 하이탑,8500000,14,74000,디젤,수동,9.1,트럭,2500,흰색,0,없음,1 건,사고있음,없음,없음,없음,4,짧음,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.30333070677193685
61,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX 고급형,4300000,11,196253,디젤,수동,9.1,트럭,2902,청색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1.018450175835524
62,기아,봉고3,1톤 초장축 더블캡 CRDi DLX GX 고급형,4800000,10,109980,디젤,수동,9.1,트럭,2902,청색,0,없음,1 건,사고없음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.9333169057089065
63,기아,봉고3,1톤 내장탑차 킹캡 하이탑,13400000,17,48000,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,1,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5309753404689147
64,기아,봉고3,1톤 초장축 킹캡 LPI 노블레스,13400000,19,2167,LPG,수동,9.1,트럭,2349,청색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0.5309753404689147
65,기아,봉고3,1톤 초장축 더블캡 CRDi,6900000,12,196586,디젤,오토,9.1,트럭,2497,파랑,0,없음,없음,사고있음,없음,없음,없음,4,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5757571711771129
66,기아,봉고3,1톤 내장탑차 킹캡 하이탑,16600000,18,44930,디젤,오토,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,있음,0,많음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0758282692792667
67,기아,봉고3,1톤 초장축 킹캡 CRDi DLX DLX,8800000,15,63721,디젤,수동,9.1,트럭,0,흰색,0,없음,1 건,사고있음,없음,없음,없음,2,짧음,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.25225074469596637
68,기아,봉고3,1톤 초장축 킹캡 CRDi 프레스티지,10500000,15,55600,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,있음,3,짧음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03720237373453316
69,기아,봉고3,1톤 장축 더블캡,4700000,10,175300,디젤,수동,9.1,트럭,2497,청색,0,없음,없음,사고있음,없음,없음,없음,6,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9503435597342299
70,기아,봉고3,1톤 장축 킹캡 CRDi SDX,11700000,17,28220,디젤,수동,9.1,트럭,2495,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0.2415222220384152
71,기아,봉고3,1톤 킹캡 초장축 CRDi 럭셔리,8600000,15,78487,디젤,수동,9.1,트럭,0,흰색,0,없음,1 건,사고있음,없음,없음,없음,1,보통,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.28630405274661336
72,기아,봉고3,1.2톤 초장축 킹캡 CRDi GLX,9900000,15,73600,디젤,오토,9.1,트럭,2500,흰색,0,없음,없음,사고없음,없음,없음,없음,0,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06495755041740785
73,기아,봉고3,1.2톤 초장축 킹캡 CRDi GLX,6500000,11,92424,디젤,수동,9.1,트럭,2902,파랑,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,-0.6438637872784069
74,기아,봉고3,1톤 활어수송차 초장축 킹캡 럭셔리,13900000,16,50000,디젤,오토,9.1,트럭,2498,초록색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0.6161086105955322
75,기아,봉고3,1.2톤 초장축 킹캡 CRDi 프레스티지,13900000,17,67172,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,0,많음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6161086105955322
76,기아,봉고3,1톤 내장탑차 킹캡 하이탑,10400000,16,20000,디젤,수동,9.1,트럭,2498,흰색,0,없음,없음,사고없음,없음,없음,없음,0,짧음,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.02017571970920966
77,기아,봉고3,4WD 장축 킹캡 GX,7990000,10,68311,디젤,수동,9.1,트럭,0,초록색,0,없음,없음,사고없음,없음,없음,없음,1,짧음,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3901666423010867
78,기아,봉고3,1톤 초장축 킹캡 CRDi DLX GX,8500000,15,44878,디젤,수동,9.1,트럭,0,흰색,0,없음,없음,사고있음,없음,없음,있음,2,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.30333070677193685
79,기아,봉고3,1톤 킹캡 초장축 CRDi 디럭스,10500000,17,64088,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,3,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03720237373453316
80,기아,봉고3,1톤 초장축 킹캡 CRDi 프레스티지,8600000,14,48904,가솔린,오토,9.1,트럭,2497,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.28630405274661336
81,기아,봉고3,1톤 초장축 표준캡 CRDi DLX DLX,9500000,16,49720,디젤,수동,9.1,트럭,2497,파랑색,0,없음,없음,사고없음,없음,없음,없음,2,짧음,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13306416651870184
82,기아,봉고3,1톤 윙바디 초장축 수동식 킹캡 럭셔리,12900000,14,9513,디젤,수동,9.1,트럭,2359,흰색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0.4458420703422972
83,기아,봉고3,1톤 내장탑차 초장축 표준형 킹캡 럭셔리,5900000,12,134170,디젤,수동,9.1,트럭,0,흰색,0,없음,없음,사고없음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.746023711430348
84,기아,봉고3,1톤 내장탑차 킹캡 하이탑,5200000,10,132720,디젤,오토,9.1,트럭,2902,흰색,0,없음,없음,사고없음,없음,없음,있음,4,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8652102896076125
85,기아,봉고3,크레인,11000000,7,97100,디젤,수동,9.1,트럭,2902,흰색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12233564386115067
86,기아,봉고3,1톤 카고,16500000,18,28628,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고없음,없음,없음,없음,7,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0588016152539432
87,기아,봉고3,1톤 초장축 킹캡 CRDi TOP,9800000,15,77000,디젤,수동,9.1,트럭,2497,흰색,0,없음,없음,사고있음,없음,없음,있음,3,보통,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,-0.08198420444273136
88,기아,봉고3,1톤 초장축 더블캡 CRDi,3990000,11,303383,디젤,오토,9.1,트럭,2902,파랑색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0712328033140268
