,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백,가격표준화
51,현대,쏘나타,3700000,9,108758,가솔린,오토,12.5,중형,1998,은색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.8200942426868484
52,현대,쏘나타,6700000,13,112900,LPG,오토,12.5,중형,1998,흰색,0,없음,없음,사고없음,없음,없음,없음,2,보통,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3152730983292697
53,현대,쏘나타,1800000,6,168207,디젤,오토,13.4,중형,0,검정색,0,없음,없음,사고없음,없음,없음,없음,4,보통,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1.1398143007799815
55,현대,쏘나타,14990000,16,71771,가솔린,오토,12.0,중형,1999,은색,0,없음,없음,사고있음,없음,없음,없음,0,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.0797159972455062
56,현대,쏘나타,18990000,18,50113,가솔린,오토,12.5,중형,1999,흰색,0,없음,없음,사고없음,없음,없음,없음,0,많음,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1.7528108563889442
57,현대,쏘나타,3500000,6,46705,가솔린,오토,10.8,중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,1,짧음,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,-0.8537489856440202
58,현대,쏘나타,5800000,10,145612,가솔린,오토,12.5,중형,0,진주색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4667194416365433
59,현대,쏘나타,10500000,15,108646,가솔린,오토,12.6,중형,1999,검정색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.32416701785699664
60,현대,쏘나타,4400000,9,169592,가솔린,오토,12.5,중형,1998,은색,0,없음,없음,사고있음,없음,없음,없음,3,보통,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,-0.7023026423367467
61,현대,쏘나타,6600000,15,135179,LPG,오토,12.5,중형,1999,검정색,0,없음,없음,사고있음,없음,없음,있음,2,많음,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.3321004698078556
62,현대,쏘나타,7000000,10,130685,가솔린,오토,12.5,중형,1998,검정색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,-0.2647909838935118
63,현대,쏘나타,2800000,5,177916,가솔린,오토,12.5,중형,1998,검정색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.971540585994122
64,현대,쏘나타,2900000,8,174320,LPG,오토,12.5,중형,2000,흰색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,-0.954713214515536
65,현대,쏘나타,13300000,17,100595,가솔린,오토,11.6,중형,1998,검정색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0.7953334192574034
66,현대,쏘나타,5700000,10,185136,LPG,오토,12.5,중형,0,은색,0,없음,1 건,사고있음,없음,없음,없음,4,많음,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,-0.48354681311512926
67,현대,쏘나타,16990000,17,70330,하이브리드(가솔린),오토,12.5,중형,1999,검정색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1.4162634268172252
68,현대,쏘나타,1900000,7,197614,LPG,오토,12.5,중형,1998,검정,0,없음,없음,사고있음,없음,없음,없음,2,보통,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1.1229869293013957
69,현대,쏘나타,15300000,17,53200,가솔린,오토,12.5,중형,2000,흰색,0,없음,없음,사고있음,없음,없음,있음,2,보통,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1.1318808488291225
70,현대,쏘나타,16800000,17,56500,LPG,오토,9.5,중형,2000,흰색,0,없음,없음,사고없음,없음,없음,있음,2,많음,0,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1.3842914210079118
71,현대,쏘나타,11500000,14,112000,LPG,오토,12.5,중형,0,검정,0,없음,없음,사고없음,없음,없음,있음,3,많음,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4924407326428562
72,현대,쏘나타,7500000,12,90735,가솔린,오토,12.5,중형,2000,회색,0,없음,없음,사고있음,없음,없음,없음,0,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,-0.18065412650058205
73,현대,쏘나타,6800000,13,85340,LPG,오토,12.5,중형,1998,화이트펄,0,없음,없음,사고있음,없음,없음,있음,2,보통,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,-0.2984457268506837
74,현대,쏘나타,12500000,16,114050,LPG,오토,12.5,중형,0,흰색,0,없음,없음,사고없음,없음,없음,있음,2,많음,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0.6607144474287158
75,현대,쏘나타,9700000,14,136919,LPG,오토,12.5,중형,2000,다크블루,0,없음,없음,사고있음,없음,없음,없음,2,많음,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0.189548046028309
76,현대,쏘나타,13600000,17,82138,가솔린,오토,12.5,중형,1999,검정,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0.8458155336931613
77,현대,쏘나타,4500000,10,220090,LPG,오토,12.5,중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,1,많음,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,-0.6854752708581607
78,현대,쏘나타,2500000,8,120000,가솔린,오토,12.5,중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-1.0220227004298799
79,현대,쏘나타,8200000,15,161289,LPG,오토,12.5,중형,1999,회색,0,없음,없음,사고없음,없음,없음,있음,1,많음,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,-0.06286252615048035
80,현대,쏘나타,4500000,14,300625,LPG,오토,12.5,중형,2000,은색,0,없음,없음,사고있음,없음,없음,있음,1,많음,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,-0.6854752708581607
81,현대,쏘나타,1900000,7,277785,LPG,오토,12.5,중형,1998,검정색,0,없음,없음,사고있음,없음,없음,있음,5,많음,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-1.1229869293013957
82,현대,쏘나타,2300000,7,105852,LPG,오토,12.5,중형,2000,은색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-1.0556774433870517
83,현대,쏘나타,3400000,13,202791,LPG,오토,12.5,중형,1999,흰색,0,없음,없음,사고있음,없음,없음,있음,6,많음,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,-0.8705763571226063
84,현대,쏘나타,5400000,12,142777,가솔린,오토,12.5,중형,1999,은색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,-0.5340289275508872
85,현대,쏘나타,7900000,15,175580,디젤,오토,16.8,중형,1685,검정색,0,없음,없음,사고있음,없음,없음,있음,3,많음,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,-0.11334464058623822
86,현대,쏘나타,8200000,14,92546,가솔린,오토,12.5,중형,1999,검정색,0,없음,없음,사고있음,없음,없음,있음,5,보통,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,-0.06286252615048035
87,현대,쏘나타,3300000,7,84515,가솔린,오토,12.5,중형,1998,흰색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,-0.8874037286011922
88,현대,쏘나타,19900000,18,35335,가솔린,오토,12.5,중형,1999,흰색,0,없음,없음,사고없음,없음,없음,없음,1,보통,0,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,1.9059399368440766
89,현대,쏘나타,3300000,8,136957,가솔린,오토,12.5,중형,1998,은색,0,없음,없음,사고있음,없음,없음,없음,3,짧음,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,-0.8874037286011922
90,현대,쏘나타,1800000,5,101410,가솔린,오토,10.8,중형,1998,검정,0,없음,없음,사고없음,없음,없음,없음,4,짧음,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.1398143007799815
91,현대,쏘나타,5990000,11,150943,가솔린,오토,12.5,중형,0,회색,0,없음,없음,사고있음,없음,없음,없음,4,보통,1,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,-0.43474743582722997
92,현대,쏘나타,4400000,10,131888,LPG,오토,12.5,중형,1999,검정,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,-0.7023026423367467
93,현대,쏘나타,4200000,9,86274,가솔린,오토,12.5,중형,1998,검정색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,-0.7359573852939186
94,현대,쏘나타,3990000,9,135665,가솔린,오토,12.5,중형,1998,회색,0,없음,없음,사고있음,없음,없음,없음,1,보통,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,0,-0.7712948653989491
95,현대,쏘나타,13800000,16,41000,가솔린,오토,12.6,중형,1999,검정색,0,없음,없음,사고있음,없음,없음,없음,2,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0.8794702766503332
