,브랜드,모델,가격,연식,주행거리,연료,변속기,연비,차종,배기량,색상,세금미납,압류,저당,보험사고정보,전손이력,침수이력,용도이력,소유자변경,연평균주행거리,썬루프,내비게이션,오토라이트,주차감지센서,가죽시트,열선시트,전동접이사이드미러,크루즈컨트롤,알루미늄휠,스마트키,통풍시트,하이패스룸밀러,블루투스,타이어공기압장치,레인선서와이퍼,핸들열선,차선이탈경보,사이드n커튼에어백
58,쌍용,티볼리 아머,17500000,19년05월(19년형),"7,400km",가솔린,오토,정보없음,SUV,"2,000cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
59,쌍용,티볼리,14200000,17년01월(17년형),"66,000km",디젤,오토,14.7Km,SUV,"1,597cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,2회,많음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
60,쌍용,티볼리 아머,15100000,18년03월(18년형),"21,000km",디젤,오토,14.2Km,SUV,"1,597cc",회색,없음,없음,없음,사고있음,없음,없음,있음,없음,짧음,0,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,1
61,쌍용,티볼리,15600000,18년12월(19년형),"9,357km",가솔린,오토,정보없음,SUV,0cc,초록색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0
62,쌍용,티볼리,9400000,17년04월(17년형),"100,000km",디젤,오토,정보없음,SUV,"1,597cc",흰색,없음,없음,없음,사고없음,없음,없음,있음,1회,많음,0,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1
63,쌍용,티볼리,10300000,15년08월(16년형),"130,828km",가솔린,오토,11.4Km,SUV,"1,597cc",흰색,없음,없음,없음,사고있음,없음,없음,없음,없음,많음,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1
64,쌍용,티볼리,11990000,15년03월(15년형),"23,632km",가솔린,오토,12.0Km,SUV,"1,597cc",은색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
65,쌍용,티볼리 에어,15000000,19년04월(19년형),"10,500km",가솔린,오토,10.8Km,SUV,0cc,초록색,정보없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
66,쌍용,티볼리,13500000,15년06월(15년형),"27,000km",가솔린,오토,12.0Km,SUV,"1,597cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,짧음,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,1
67,쌍용,티볼리,13700000,16년10월(17년형),"32,000km",가솔린,오토,정보없음,SUV,"1,597cc",파랑색,없음,없음,없음,사고있음,없음,없음,없음,없음,짧음,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1
68,쌍용,티볼리 아머,15990000,17년12월(18년형),"53,000km",가솔린,오토,14.7Km,SUV,0cc,흰색,정보없음,없음,없음,사고없음,없음,없음,없음,없음,보통,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
69,쌍용,티볼리,9700000,15년09월(16년형),"107,829km",디젤,오토,14.7Km,SUV,"1,597cc",다크블루,없음,없음,없음,사고없음,없음,없음,없음,4회,많음,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0
70,쌍용,티볼리 에어,15000000,19년01월(19년형),"43,084km",디젤,오토,13.3Km,SUV,"1,597cc",흰색,없음,없음,없음,사고없음,없음,없음,없음,없음,많음,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,1
